run,cut
582,533.6201979529396
583,536.5933276689431
584,535.3867650902783
585,533.6201979529396
586,525.4145178562163
587,526.0816885029507
588,427.47218284628667
589,525.085178771481
590,498.33651366815104
591,534.7816242874799
592,525.633176077444
593,533.3024315940528
594,535.7073225734644
595,534.7816242874799
596,535.7073225734644
597,536.8440341564768
598,529.1747786398681
599,531.2400217250557
600,530.7011249890757
601,536.4410549713688
602,536.5933276689431
603,534.7816242874799
604,531.2400217250557
605,529.086488612992
606,539.4026630329993
607,539.4026630329993
608,535.3867650902783
609,534.4113261446116
610,501.8781162305752
611,501.8781162305752
612,525.4145178562163
613,430.2023579721573
614,533.6201979529396
615,527.1595224266515
616,539.9826575337929
617,535.3867650902783
618,532.1657200110402
619,533.6201979529396
620,534.3052244181317
621,529.086488612992
622,508.10820425769367
623,527.3972594913782
624,535.7073225734644
625,536.8440341564768
626,523.299196714089
627,429.904890858152
628,536.5933276689431
629,529.6232910653748
630,533.3024315940528
631,539.9826575337929
632,530.7011249890757
633,539.4026630329993
634,537.1415012704821
635,423.941536011611
636,536.5933276689431
637,539.9826575337929
638,535.7073225734644
639,530.7636218557076
640,536.5933276689431
641,428.7681792751395
642,534.7816242874799
643,527.1595224266515
644,525.3908481992448
645,536.4410549713688
646,536.5933276689431
647,533.3024315940528
648,533.0517251065189
649,539.4026630329993
650,533.6201979529396
651,533.0517251065189
652,533.6201979529396
653,534.3052244181317
654,533.599898708058
655,536.5933276689431
656,536.4410549713688
657,528.9324507616691
658,539.9826575337929
659,536.8440341564768
660,539.9826575337929
661,529.1747786398681
662,539.4026630329993
663,534.7816242874799
664,530.7011249890757
665,428.44762179195357
666,526.0816885029507
667,536.5933276689431
668,501.8781162305752
669,428.44762179195357
670,536.8440341564768
671,533.6201979529396
672,501.88150684762627
673,530.0785953905155
674,534.7816242874799
675,429.904890858152
676,529.1747786398681
677,536.0297688117804
678,539.4026630329993
679,484.13077421611945
680,539.4026630329993
681,536.4410549713688
682,528.6267813339051
683,529.1747786398681
684,534.4113261446116
685,525.085178771481
686,536.5933276689431
687,534.4113261446116
688,534.4113261446116
689,529.086488612992
690,539.9826575337929
691,535.7073225734644
692,536.4410549713688
693,536.0297688117804
694,535.3867650902783
695,539.4026630329993
696,533.6201979529396
697,539.4026630329993
698,533.6201979529396
699,530.8806793099359
700,433.04351423546814
701,527.3972594913782
702,536.5933276689431
703,533.0517251065189
704,534.7816242874799
705,523.5731520293358
706,528.9324507616691
707,536.4410549713688
708,539.4026630329993
709,539.4026630329993
710,536.5933276689431
711,529.6232910653748
712,484.13077421611945
713,429.904890858152
714,539.9826575337929
715,530.7011249890757
716,536.4410549713688
717,534.4113261446116
718,536.8440341564768
719,536.8440341564768
720,536.5933276689431
721,533.6201979529396
722,539.4026630329993
723,530.7636218557076
724,530.7011249890757
725,532.1657200110402
726,422.23563534154323
727,527.1595224266515
728,525.3908481992448
729,534.4113261446116
730,531.2400217250557
731,535.8610604705751
732,530.0785953905155
733,536.5933276689431
734,511.6498068201178
735,480.5891716536953
736,539.4026630329993
737,527.1595224266515
738,536.8440341564768
739,533.599898708058
740,536.4410549713688
741,530.0785953905155
742,536.5933276689431
743,527.1595224266515
744,530.7011249890757
745,535.7073225734644
746,535.7073225734644
747,524.9650500954965
748,533.6201979529396
749,533.6201979529396
750,421.9933074633441
751,508.51148501897774
752,534.7816242874799
753,534.7816242874799
754,532.6280911754161
755,534.4113261446116
756,529.6232910653748
757,533.6201979529396
758,527.1595224266515
759,536.8440341564768
760,535.7073225734644
761,534.3052244181317
762,530.0785953905155
763,501.8781162305752
764,535.3867650902783
765,536.5933276689431
766,536.8440341564768
767,533.0517251065189
768,539.9826575337929
769,529.1747786398681
770,539.4026630329993
771,530.7011249890757
772,539.4026630329993
773,539.4026630329993
774,433.04351423546814
775,512.0530875814019
776,534.7816242874799
777,534.7816242874799
778,529.1747786398681
779,534.4113261446116
780,535.7073225734644
781,523.8556569289541
782,536.5933276689431
783,539.4026630329993
784,534.7816242874799
785,534.4113261446116
786,533.3024315940528
787,528.9324507616691
788,416.63400873101085
789,533.3024315940528
790,512.0530875814019
791,535.3867650902783
792,539.4026630329993
793,539.4026630329993
794,539.4026630329993
795,533.6201979529396
796,534.7816242874799
797,536.5933276689431
798,536.4410549713688
799,536.8440341564768
800,533.6201979529396
801,527.3972594913782
802,534.7816242874799
803,539.4026630329993
804,528.9324507616691
805,427.36608111980684
806,536.5933276689431
807,534.3052244181317
808,539.4026630329993
809,528.9324507616691
810,521.4234475330724
811,528.9324507616691
812,536.8440341564768
813,525.3908481992448
814,528.9324507616691
815,527.1595224266515
816,535.7073225734644
817,537.1415012704821
818,422.23563534154323
819,534.4113261446116
820,534.7816242874799
821,530.7011249890757
822,533.6201979529396
823,535.7073225734644
824,536.8440341564768
825,530.7011249890757
826,530.7636218557076
827,530.0785953905155
828,535.3867650902783
829,532.4881662493564
830,530.7011249890757
831,518.5497221721688
832,527.1595224266515
833,528.9324507616691
834,530.7011249890757
835,539.9826575337929
836,525.085178771481
837,527.3972594913782
838,530.7011249890757
839,533.6201979529396
840,525.4145178562163
841,539.4026630329993
842,536.8440341564768
843,536.8440341564768
844,534.4113261446116
845,533.6201979529396
846,529.086488612992
847,520.0315494669117
848,524.9650500954965
849,525.4145178562163
850,429.904890858152
851,525.633176077444
852,535.7073225734644
853,525.4145178562163
854,530.7011249890757
855,539.9826575337929
856,529.6232910653748
857,533.6201979529396
858,521.4234475330724
859,428.44762179195357
860,530.2658229614773
861,536.8440341564768
862,536.5933276689431
863,531.2400217250557
864,525.4145178562163
865,539.4026630329993
866,535.3867650902783
867,536.0297688117804
868,534.7816242874799
869,531.8451625278543
870,525.3908481992448
871,536.0297688117804
872,536.5933276689431
873,521.8729152937922
874,525.4145178562163
875,429.904890858152
876,530.7011249890757
877,533.6201979529396
878,532.6280911754161
879,530.7011249890757
880,536.0297688117804
881,528.6267813339051
882,528.9324507616691
883,534.7816242874799
884,534.7816242874799
885,534.4113261446116
886,527.3972594913782
887,539.4026630329993
888,523.299196714089
889,537.0729884076108
890,533.6201979529396
891,430.2023579721573
892,533.6201979529396
893,536.5933276689431
894,534.4113261446116
895,530.8697235821874
896,539.4026630329993
897,530.7011249890757
898,536.4410549713688
899,528.9324507616691
900,525.4145178562163
901,528.9324507616691
902,539.4026630329993
903,426.6810546546147
904,511.6498068201178
905,426.6810546546147
906,536.5933276689431
907,529.6232910653748
908,530.7011249890757
909,533.991253165365
910,533.6201979529396
911,480.5891716536953
912,534.3052244181317
913,433.04351423546814
914,530.7011249890757
915,534.4113261446116
916,532.6280911754161
917,535.7073225734644
918,525.085178771481
919,535.3867650902783
920,536.5933276689431
921,526.0816885029507
922,526.0816885029507
923,539.9826575337929
924,536.8440341564768
925,528.6267813339051
926,533.6201979529396
927,536.5933276689431
928,498.3399042852021
929,536.8440341564768
930,526.0816885029507
931,536.5933276689431
932,529.1747786398681
933,528.9324507616691
934,498.3399042852021
935,533.0517251065189
936,536.8440341564768
937,537.1415012704821
938,536.5933276689431
939,421.9933074633441
940,529.6232910653748
941,539.4026630329993
942,530.7011249890757
943,535.8610604705751
944,534.7816242874799
945,534.3052244181317
946,536.8440341564768
947,536.8440341564768
948,536.8440341564768
949,526.0816885029507
950,427.36608111980684
951,526.0816885029507
952,533.599898708058
953,533.6201979529396
954,533.3024315940528
955,539.4026630329993
956,525.085178771481
957,532.1657200110402
958,530.0785953905155
959,525.3908481992448
960,516.5544422823002
961,535.8610604705751
962,526.0816885029507
963,539.4026630329993
964,534.4113261446116
965,534.4113261446116
966,534.7816242874799
967,539.9826575337929
968,532.6280911754161
969,535.8610604705751
970,536.8440341564768
971,523.299196714089
972,535.7073225734644
973,525.4145178562163
974,533.3024315940528
975,535.7073225734644
976,534.3052244181317
977,533.6201979529396
978,530.7011249890757
979,531.8451625278543
980,525.4145178562163
981,429.65418437061817
982,536.5933276689431
983,532.6280911754161
984,530.7011249890757
985,539.4026630329993
986,423.7619816907507
987,535.3867650902783
988,528.9324507616691
989,534.4113261446116
990,536.5933276689431
991,536.8440341564768
992,534.4113261446116
993,529.6232910653748
994,512.0530875814019
995,430.2023579721573
996,533.6201979529396
997,532.1657200110402
998,536.8440341564768
999,539.4026630329993
1000,484.13077421611945
1001,533.6201979529396
1002,528.9324507616691
1003,530.7011249890757
1004,529.1747786398681
1005,536.5933276689431
1006,530.7636218557076
1007,539.4026630329993
1008,527.1595224266515
1009,529.1747786398681
1010,529.6232910653748
1011,531.8451625278543
1012,527.1595224266515
1013,531.8451625278543
1014,501.88150684762627
1015,533.6201979529396
1016,539.9826575337929
1017,535.7073225734644
1018,537.0729884076108
1019,501.8781162305752
1020,539.9826575337929
1021,536.8440341564768
1022,535.3867650902783
1023,539.4026630329993
1024,534.7816242874799
1025,534.7816242874799
